private|adj. 私人的
precaution|n. 预防；预防措施
fan|n. 风扇；迷；v. 煽动；吹拂
shady|adj. 背阴的；阴凉的；可疑的
sheriff|n. 郡长；行政司法长官；警长；县治安官
sneer|v. 嘲笑；讥讽；n. 嘲笑；讥讽
thick|adj. 厚的；粗的；浓稠的
signal|n. 信号；标志；v. 用信号通知
stamp|n. 邮票；印记；跺脚；v. 盖印；跺脚
helicopter|n. 直升机
scene|n. 场景；现场；景色
survivor|n. 幸存者；生还者
fool|n. 傻瓜；蠢人；v. 愚弄
bulletin|n. 公告；布告；公报；新闻简报
announcer|n. 广播员；告知者；报幕员
macaroni|n. 通心粉
leading|adj. 最重要的；一流的；处于领导地位的；v. 带领；领导；“lead”的现在分词
grower|n. 种植者；生长物
splendid|adj. 壮观的；辉煌的；极好的
stalk|n. 茎；柄；梗；v. 跟踪；偷偷接近；昂首阔步地走
thresh|v. 打（谷）；脱粒
process|n. 过程；进程；工序；v. 处理；加工
Signor|n. 先生（意大利语）
champion|n. 冠军；优胜者；拥护者；v. 拥护；支持
studio|n. 演播室；录音棚；工作室
mummy|n. 木乃伊；干尸；妈咪
Egyptian|n. 埃及人；埃及语；adj. 埃及的；埃及人的
temple|n. 庙宇；太阳穴
mark|n. 记号；痕迹；分数；v. 做标记；（使）留痕迹；评分
plate|n. 盘子；碟子
disease|n. 病；疾病
last|adj. 最后的；最近的；adv. 最后；最近；v. 持续
prove|v. 证明；证实
resin|n. 树脂；合成树脂；v. 涂树脂
skin|n. 皮肤；毛皮；外皮；v. 剥皮；削皮
section|n. 部分；部门；章节
figure|n. 数字；身材；重要或有名的人物；v. 计算；认为；弄懂
normally|adv. 正常地；通常地
survive|v. 幸存；生存；存活
entitle|v. 授权；命名；给...权利（或资格）
calm|v. （使）平静；（使）镇定；adj. 平静的；镇静的；n. 平静
nerve|n. 神经；勇气；胆量
concentration|n. 专注；关注；聚集；浓度
suffer|v. 遭受；忍受
symptom|n. 征兆；症状
temper|n. 暴躁脾气；情绪；心情；性情；v. 使…缓和；冲淡
appetite|n. 胃口；食欲；嗜好；爱好
produce|v. 生产；生育；制造；出示；导致；引起；n. 农产品
urge|v. 催促；力劝；n. 强烈欲望；迫切要求
satisfaction|n. 满意；满足
delighted|adj. 高兴的；愉快的；快乐的；v. 使高兴；使愉快；“delight”的过去式和过去分词
parent|n. 父亲（或母亲）
flight attendant|phrase. 航空乘务员；空姐
frightened|adj. 惊吓的；受惊的；害怕的；v. 使惊吓；使惊恐；“frighten”的过去式和过去分词
curious|adj. 好奇的
bomb|n. 炸弹；v. 投弹于；轰炸
palace|n. 宫殿；王宫
extraordinary|adj. 不平常的；非凡的
exhibition|n. 展览；展出
iron|n. 铁；铁器；熨斗；镣铐；adj. 铁制的；坚强的；顽强的；v. 熨烫；用铁装备
various|adj. 各种各样的；不同的；各种的
machinery|n. 机械；机械（总称）
display|v. 展示；陈列；n. 展示；陈列
steam|n. 蒸汽；水蒸气；v. 蒸
profit|n. 利润；收益；v. 获利；有益于
college|n. 学院；大学
prisoner|n. 囚犯；犯人
bush|n. 灌木丛；矮树
rapidly|adv. 迅速地；快速地
uniform|adj. 一致的；统一的；n. 制服
rifle|n. 步枪；来复枪；v. 快速搜寻
shoulder|n. 肩膀；v. 承担
march|n. 行军；行进；游行；v. 行军；行进；游行
boldly|adv. 大胆地，显眼地
blaze|n. 烈火；火焰；闪耀；v. 闪耀；熊熊燃烧；发亮光
salute|n. 敬礼；致敬；行礼；v. 敬礼；致敬；行礼
elderly|adj. 年老的；年长的
grey|adj. 灰色的；暗淡的；n. 灰色；暗淡
sharp|adj. 锋利的；灵敏的；尖刻的；骤变的
blow|n. 吹；打击；v. 吹；打击
monster|n. 怪物；妖怪；庞然大物
sailor|n. 水手；海员
creature|n. 生物；动物
peculiar|adj. 奇怪的；独特的
shining|adj. 闪闪发亮的；华丽的；辉煌的；v. 照耀；发光；闪耀；“shine”的现在分词
oarfish|n. 桨鱼；皇带鱼
election|n. 选举；当选
former|adj. 以前的；前者的；n. 模子
defeat|v. 击败；战胜；使受挫；n. 失败；战胜
fanatical|adj. 狂热入迷的
opponent|n. 对手；反对者；敌手
radical|adj. 根本的；彻底的；激进的；n. 激进分子
progressive|adj. 先进的；前进的；n. 改革论者；进步论者
ex-|pref. （前缀）前…
suspicious|adj. 怀疑的；令人怀疑的
strike|v. 击打；罢工；侵袭；突然想到；划（火柴）；n. 罢工；袭击
busman|n. 公共汽车司机
state|n. 情形；状态；国家；州；v. 说明；陈述；声明；规定；adj. 国事礼仪（或规格）的；州的；邦的
agreement|n. 一致；同意；协议
relieve|v. 减轻；缓解
pressure|n. 压力；压强；压迫；v. 对…施加压力
extent|n. 长度；广度；程度
volunteer|n. 志愿者；v. 自愿做
gratitude|n. 感激之情；感谢
the Press|n. 新闻界
object|n. 物体；目的；对象；宾语；v. 反对；有意见；讨厌
inform|v. 通知；告知
headmaster|n. 校长
contribute|v. 捐献；投稿；贡献；促成
gift|n. 礼物；天赋
album|n. 相册；专辑
patience|n. 耐心；忍耐
encouragement|n. 鼓励；鼓舞
farewell|n. 再会；别了
honour|n. 荣誉；荣幸；尊敬；v. 尊敬；给予荣誉
coincidence|n. 巧合；一致
total|n. 总额；总计；v. 共计；总数达；adj. 总的；全部的
devote|v. 投入；献身
gardening|n. 园艺（学）；v. 从事园艺；“garden”的现在分词
hobby|n. 爱好
swing|n. 摇摆；秋千；v. 摇摆
speedboat|n. 快艇
desperately|adv. 绝望地；拼命地；不顾一切地；极度地
companion|n. 同伴；伴侣
water ski|phrase. （由快艇牵引水橇）滑水
buoy|n. 浮标；浮筒；救生圈；v. 使浮起；支撑；鼓励
tremendous|adj. 巨大的；极大的
petrol|n. 汽油
drift|v. 飘；漂流；漂移；n. 流动；趋势
gently|adv. 温柔地；温和地；轻轻地
alibi|n. 不在犯罪现场证明；辩解；托辞
commit|v. 犯（罪、错）；承诺；投入
inspector|n. 检查员；巡视员；视察员
employer|n. 雇主
confirm|v. 证实；确认；批准
truth|n. 真理；事实；真实
trap|n. 圈套；陷阱；困境；v. 设圈套；陷入（困境）
surface|n. 表面；v. 显露；给…铺路面
explosive|n. 炸药；爆炸物；adj. 爆炸的
vibration|n. 震动；颤动；抖动
collapse|v. 倒塌；昏倒；暴跌；折叠；n. 倒塌；崩溃；病倒；暴跌
drill|n. 钻机；反复的练习；v. 钻孔；（教某人）反复练习
capsule|n. 胶囊；太空舱；adj. 压缩的；概要的；v. 压缩；简述
layer|n. 层；层次
beneath|prep. 在…下面
lower|v. 降低；减少；adj. 较低的；下游的；adj. 更低的；“low”的比较级
progress|n. 进展；进步；缓慢前进；稳步前进；v. 进展；进步；（时间）逐渐过去；前进
smoothly|adv. 顺利地；平稳地；顺畅地
slip|v. 滑倒；滑落；溜走；悄悄地放；n. 滑倒；溜走；疏忽；纸片
comedy|n. 喜剧
queue|n. 行列；长队；v. 排队
dull|adj. 愚笨的；枯燥的；感觉迟钝的；无趣的；阴暗的
artiste|n. 表演艺术家；艺人
advertiser|n. 登广告者；广告商
chip|n. 炸薯条；芯片；碎片；v. 削成碎片；碎裂
overfish|v. 捕捞过度
giant|n. 巨人；伟人；adj. 巨大的；伟大的
terrify|v. 使恐惧；使惊吓
diver|n. 潜水员；跳水者
oil rig|phrase. 石油钻塔
wit|n. 机智（的人）；风趣（的人）；才智；头脑；智慧
cage|n. 笼子；vt. 把…关进笼子
shark|n. 鲨鱼
whale|n. 鲸；v. 捕鲸
variety|n. 变化；多样性；（同一事物）不同种类；（动植物的）品种
cod|n. 鳕鱼；鳕鱼肉
skate|v. 溜冰；n. 旱冰鞋
factor|n. 因素；要素；因数；代理人；倍数；系数；v. 把…因素包括进去；分解成因子；做代理商（或管家）
crew|n. 全体船员；全体人员
balloon|n. 气球；热气球；玩具气球；球状物；v. 乘热气球飞行；膨胀；（使）激增
royal|adj. 皇家的；盛大的
spy|n. 间谍；密探；v. 秘密侦察；发现
track|n. 轨道；踪迹；小路；跑道；v. 追踪；跟踪
binoculars|n. 双筒望远镜
fast|adj. 快的；迅速的；adv. 迅速；v. 禁食；斋戒
ladder|n. 梯子；阶梯
shed|n. 棚屋；v. 摆脱；去除；使脱落
sarcastic|adj. 讽刺的；嘲讽的；挖苦的
tone|n. 音调；色调；语气；氛围；强健状况；v. 使协调；使健壮
noble|adj. 贵族的；高尚的；n. 贵族
monument|n. 纪念碑；历史遗迹；不朽作品
statue|n. 雕像；雕塑
liberty|n. 自由
sculptor|n. 雕刻家；雕塑家
actual|adj. 真实的；实际的
copper|n. 铜；铜币
support|v. 支持；支撑；n. 拥护；帮助
framework|n. 骨架；支架；框架
transport|n. 运输；v. 运输
site|n. 位置；场所
pedestal|n. 底座；基座
Los Angeles|n. 洛杉矶（美国）
reluctant|adj. 不情愿的；勉强的
weight|n. 重量；砝码；秤锤；重物；负担；重要性；v. 使负担；装载过重；视…为重要
underwater|adj. 水下的；adv. 在水下
tricycle|n. 三轮脚踏车
compete|v. 竞争；比赛
yard|n. 码；院子；庭院
gasp|v. 喘气；喘息；倒抽气；n. 喘气；喘息
fantasy|n. 幻想；奇幻
ambassador|n. 大使
Escalopia|n. 艾斯卡罗比亚（虚构的国名）
frightful|adj. 可怕的；讨厌的；非常的
fire extinguisher|phrase. 灭火器
drily|adv. 冷淡地；枯燥无味地
embassy|n. 大使馆
heaven|n. 天堂；天国
basement|n. 地下室
definitely|adv. 明确地；肯定地
post|n. 邮件；邮寄；职位；帖子；岗位；柱；v. 邮寄；张贴；公布；使驻守
shot|n. 射击；射门；照片；注射；v. 射击；拍摄（电影）；疾驰；“shoot”的过去式和过去分词
festival|n. 节日
lantern|n. 灯笼；提灯
spectacle|n. 景象；奇观；场面；眼镜
