excuse|n. 饶恕；借口；致歉；v. 宽恕；原谅；辩解
guy|n. 家伙；人
top|n. 顶；顶部；顶端；v. 胜过；超过；居…之首；adj. 最高的；极棒的
clever|adj. 聪明的；灵巧的
stupid|adj. 愚蠢的；笨的
cheap|adj. 便宜的；廉价的
expensive|adj. 昂贵的
stale|adj. 不新鲜的；陈腐的
loud|adj. 响亮的；大声的；adv. 大声地；响亮地
high|adj. 高的；adv. 在高处
soft|adj. 软的；柔软的
sour|adj. 酸的；不友好的；坏脾气的；v. （使）变酸
spell|v. 拼写；招致；意味着；顶替；n. 一段时间；咒语；魅力
intelligent|adj. 有才智的；聪明的；明智的
mistake|n. 错误；失误；v. 弄错；误解
present|n. 目前；礼物；adj. 在场的；目前的；v. 呈现；提出
dictionary|n. 词典；字典
carry|v. 拿；携带；运送
correct|adj. 正确的；v. 改正；修正
madam|n. 夫人；女士；非常自我的女子
as well|phrase. 也；同样；又；还
pretty|adv. 很；相当；adj. 漂亮的
idea|n. 主意；想法；理念
a little|phrase. 少量；少许
teaspoonful|n. 一茶匙的量
less|adv. 较少地；更少地；“little”的比较级；adj. 更少的；“little”的比较级；pron. 较少；更少
a few|phrase. 少许；少数
pity|v. 怜悯；同情；n. 怜悯；同情；憾事
instead|adv. 代替；反而
advice|n. 建议；意见
most|adj. 最多的；大多数的；adv. 最；pron. 大部分
least|adj. 最少的；最小的；“little”的最高级；adv. 最小；最少；“little”的最高级；n. 最小；最少
worse|adv. 更糟；更坏；adj. 更坏的；更糟糕的；“bad”的比较级；“ill”的比较级
worst|adv. 最坏；最严重；最糟；adj. 最坏的；最糟糕的；“bad”的最高级；“ill”的最高级；n. 最坏的事
model|n. 模型；模特儿；模范；型号；v. 将…做成模型；当模特儿
afford|v. 买得起；担负得起；有时间做；给予
deposit|n. 存款；押金；沉淀；v. 存储；堆积
instalment|n. 部分；分期付款；分期连载的一部分
price|n. 价格；代价；v. 定价
millionaire|n. 百万富翁
conductor|n. 指挥；售票员；导体
fare|n. 车费；票价；费用；v. 进展；成功（或不成功等）
note|n. 笔记；便条；注释；音调；语气；钞票；v. 注意；备注；记录
passenger|n. 旅客；乘客
none|pron. 没有一个；adv. 绝无
neither|adj. 两者都不的；pron. 两者都不；adv. 两者都不；conj. 也不
get off|phrase. 下车；离开
tramp|n. 流浪汉；流浪乞丐；徒步旅行；v. 步行；踩；踏
except|conj. 除了；只是；v. 不计；把…除外；prep. 除了；除外
anyone|pron. 任何人
knock|v. 敲；撞；击；打；n. 撞击；敲击
everything|pron. 每件事；一切事物
quiet|adj. 安静的
impossible|adj. 不可能的
invite|v. 邀请；招致
anything|pron. 任何东西；任何事
nothing|pron. 没有什么；n. 无
lemonade|n. 柠檬汽水；柠檬饮料
joke|n. 笑话；玩笑；v. 开玩笑
asleep|adj. 睡着的
glasses|n. 眼镜；n. 玻璃；玻璃杯；“glass”的复数
dining room|phrase. （家里或宾馆的）餐厅
coin|n. 硬币；金属钱币；v. 铸造硬币；杜撰；创造
swallow|v. 吞咽；轻信；n. 燕子；吞咽
later|adv. 后来；稍后；adj. 后来的；稍后的；晚些的；晚年的
toilet|n. 厕所；马桶；卫生间；盥洗室
ring|n. 环；环形物；戒指；铃声；声调；拳击场；v. 成环形；环绕；响铃；鸣；给…打电话
story|n. 故事；小说； 轶事；假话
happen|v. 发生
thief|n. 小偷；贼；窃贼
enter|v. 进入；进去
dark|adj. 黑暗的；暗色的；深色的；n. 黑暗；夜；暗色
torch|n. 火炬；手电筒；火把
voice|n. 声音；呼声；意见；v. 表达；发嗓音
parrot|n. 鹦鹉；学舌者；v. 鹦鹉学舌地说；机械地模仿
exercise book|phrase. 练习册；作业本
customer|n. 客户；顾客；主顾
forget|v. 忘记；遗忘
manager|n. 经理；管理者
serve|v. 服务；接待；供职；服役
counter|n. 柜台；对立面；v. 反驳；抵消；adv. 相反地
recognize|v. 认出；意识到；承认
road|n. 道路；公路
during|prep. 在…期间
trip|n. 旅行；旅程；v. 绊倒；出差错；轻快地走
travel|v. 旅游；旅行；n. 旅游；旅行
offer|n. 提议；提供；报价；v. 提供；愿意
guess|v. 猜测；猜想；n. 猜测；猜想
grow|v. 生长；成长；种植；渐渐变成
beard|n. 胡须；络腮胡子；v. 公然反抗
kitten|n. 小猫
terribly|adv. 可怕地；非常；极
dry|adj. 干的；v. 变干
nuisance|n. 讨厌的人；讨厌的事
mean|v. 意思是；打算；导致；有意；对…严肃认真；adj. 低劣的；吝啬的；平均的；n. 平均数；中庸；居中
surprise|v. 使惊奇；使感到意外；n. 惊讶；惊喜；意外
immediately|adv. 立即；马上；conj. 即刻
famous|adj. 著名的；出名的
actress|n. 女演员
at least|phrase. 至少；不少于；起码
actor|n. 演员；男演员
wave|n. 波；波浪；海浪；挥手；v. 挥手；挥舞；招手；起伏
track|n. 轨道；踪迹；小路；跑道；v. 追踪；跟踪
mile|n. 英里
overtake|v. 赶上；超过
speed limit|phrase. 速度限制
dream|n. 梦；梦想；v. 梦想；做梦
sign|n. 标志；符号；告示牌；手势；征兆；v. 签名；做标记
driving licence|n. 驾驶执照
charge|v. 使承担责任；收费；充电；指控；给…充电；n. 负责；收费；指控；谴责
darling|n. 心爱的人；adj. 亲爱的
Egypt|n. 埃及（东北非国家）
abroad|adv. 在国外；出国
worry|v. 担心；担忧；n. 担心；忧虑
reporter|n. 记者；通讯员
sensational|adj. 轰动的；耸人听闻的；极好的
mink coat|phrase. 貂皮大衣
future|n. 未来；将来；前途；adj. 将来的；未来的
get married|phrase. 结婚
hotel|n. 旅馆；酒店；饭店
latest|n. 最新消息；最新事物；adj. 最新的；最近的；最后的；“late”的最高级
introduce|v. 介绍；引进
football|n. [英]足球；[美]橄榄球
pool|n. 水塘；水池；美式撞球；备用物资；v. 合伙经营；共用；汇集
win|v. 赢；获得；n. 胜利；赢得
world|n. 世界
depend|v. 依靠；依赖；取决于
extra|adj. 额外的；adv. 额外地；n. 额外的事物
overseas|adj. 外国的；海外的；adv. 在国外；在海外
engineering|n. 工程；工程学
company|n. 公司；陪伴
line|n. 行；列；线；界线
excited|adj. 激动的；兴奋的；v. 使兴奋；使激动；“excite”的过去式和过去分词
get on|phrase. 进展；相处；上车
middle-aged|adj. 中年的
opposite|n. 反面；对立面；adj. 对面的；prep. 与…相对；adv. 在相反的位置
curiously|adv. 好奇地；奇异地；奇怪地
funny|adj. 滑稽的；好笑的；有趣的
powder|n. 粉末；粉；v. 搽粉于；使成粉末
compact|adj. 紧密的；小型的；n. 协定；小型汽车；化妆粉盒
kindly|adv. 亲切地；和善地；请；adj. 仁慈的；厚道的
ugly|adj. 丑陋的；难看的
amused|adj. 被逗乐的；v. 逗乐；娱乐；消遣；“amuse”的过去式和过去分词
embarrassed|adj. 尴尬的；窘迫的；v. 使窘迫；使尴尬；“embarrass”的过去式和过去分词
worried|adj. 担忧的；焦虑的；发愁的；v. 担心；担忧；“worry”的过去式和过去分词
regularly|adv. 有规律地；定期地；经常地
surround|v. 环绕；围绕
wood|n. 木材；木头；树林
beauty spot|phrase. 风景点；美人痣
hundred|num. 百；一百
through|prep. 通过；穿过；adv. 彻底；从头到尾地；adj. 全程的；直通的
visitor|n. 客人；参观者
tidy|adj. 整洁的；整齐的；v. 收拾；整理
litter|n. 垃圾；杂物；一窝小崽；担架；v. 乱扔；乱丢杂物
litter basket|phrase. 废物筐
place|n. 地方；方位；v. 安置；安放
throw|v. 扔；抛；丢；投；n. 扔；抛；摔；投
rubbish|n. 垃圾；废物
count|v. 计算；清点；看作；有价值；n. 计数；计算
cover|v. 遮盖；包括；报道；n. 封面；遮盖物；庇护所
piece|n. 片；块；件；作品；v. 拼凑
tyre|n. 轮胎
rusty|adj. 生锈的；生疏的
among|prep. 在…之间
prosecute|v. 起诉；控告；检举；指控；继续从
