considerable|adj. 重要的；相当大的；可观的
health|n. 健康；健康状况
healthful|adj. 有益健康的
healthy lifestyle|phrase. 健康的生活方式
keep fit|phrase. 保持健康；健身
keep in good health|phrase. 保持身体健康
keep warm|phrase. 保暖
lifestyle|n. 生活方式
living habit|phrase. 生活习性
massage|v. 按摩；揉；n. 按摩；揉
meditation|n. 冥想；沉思
nourishing|adj. 有营养的；滋养多的；v. 滋养；培养；养育；“nourish”的现在分词
peace|n. 和平；平静
perspire|v. 出汗；流汗
reasonable rest|phrase. 合理休息
sit still|phrase. 静坐
sleep|n. 睡眠；v. 睡觉
tonic|n. 补药；滋补品；奎宁水
tranquil|adj. 安静的；平静的；宁静的
unhurried|adj. 从容不迫的；不慌不忙的；悠闲的
wellbeing|n. 幸福
barometer|n. 晴雨表；气压计
blizzard|n. 暴风雪；大量
convection zone|phrase. 对流层；对流区
droplet|n. 小滴
drought|n. 旱灾；干旱
funnel|n. 漏斗；烟筒；v. 通过狭窄空间；输送
gale|n. 大风；一阵（喧闹）
hurricane|n. 飓风
ozone layer|phrase. 臭氧层
tempest|n. 暴风雨；骚动
tornado|n. 龙卷风；旋风
troposphere|n. 对流层
typhoon|n. 台风
whirlwind|n. 旋风；一片忙乱；adj. 旋风似的；快速的；匆匆忙忙的
image|n. 图像；形象；画面；影像
puzzle|n. 谜；难题；拼图；v. （使）迷惑；（使）伤脑筋
decipher|v. 破译；解读；n. 密电译文
rewarding|adj. 有报酬的；有益的；值得的；v. 奖励；报酬；“reward”的现在分词
reward|n. 奖励；报酬；v. 奖励；回报
recognition|n. 认识；识别；承认；认可；褒奖；酬劳
complacent|adj. 自满的；自鸣得意的
content|n. 内容；含量；目录；adj. 满足的；v. 使满意
contented|adj. 满足的；v. 使满足；“content”的过去式和过去分词
fulfilled|adj. 满足的；v. 完成；满足；“fulfill”的过去式和过去分词
fulfil|v. 履行；实行；满足
fulfilment|n. 实现；履行；满足
gratify|v. 使满足；使高兴
gratification|n. 满足；满意
relieved|adj. 感到宽慰的；感到安心的；v. 减轻；缓解；“relieve”的过去式和过去分词
relieve|v. 减轻；缓解
relief|n. 减缓；解脱；宽慰；救济
satiate|v. 使饱足；使厌腻；充分满足
satisfaction|n. 满意；满足
satisfactory|adj. 令人满意的
unsatisfactory|adj. 不够好的；不能令人满意的
satisfy|v. 使满意；使满足
dissatisfied|adj. 不满意的；不高兴的；v. 使不满意；“dissatisfy”的过去式
suffice|v. 足够；足以；使满足
adversity|n. 逆境；不幸
adverse|adj. 不利的；有害的；相反的；敌对的
arduous|adj. 艰巨的；费力的
complicated|adj. 复杂的
confront|v. 面对；遭遇；对抗
deadlock|n. 僵局；僵持
despairing|adj. 绝望的；无望的；v. 绝望；失望；“despair”的现在分词
dilemma|n. （进退两难的）窘境
elusive|adj. 难以捉摸的；不易被抓获（觉察、理解或记忆）的
elude|v. 躲避；把（某人）难倒
embarrass|v. 使窘迫；使尴尬
embarrassed|adj. 尴尬的；窘迫的；v. 使窘迫；使尴尬；“embarrass”的过去式和过去分词
embarrassing|adj. 令人尴尬的；令人为难的；v. 使窘迫；使尴尬；“embarrass”的现在分词
embarrassingly|adv. 令人尴尬地
embarrassment|n. 窘迫；难堪；困境
flounder|v. 挣扎；深陷困境；n. 比目鱼
handicap|n. 障碍；阻碍；不利；v. 妨碍；使不利
handicapped|adj. 有生理缺陷的；残疾的；弱智的；v. 妨碍；使不利；“handicap”的过去式和过去分词
harsh|adj. 严厉的；严酷的；刺耳的
hassle|n. 麻烦；困难；争吵；v. 烦扰；纠缠
hiccup|n. 打嗝声；v. 打嗝
intricate|adj. 错综复杂的
involved|adj. 有关的；有牵连的；繁杂的；v. 牵涉；包括；“involve”的过去式和过去分词
knotty|adj. 多结节的；难以解决的；棘手的
laborious|adj. 耗时费力的；辛苦的；艰难的；艰涩的
opaque|adj. 不透明的；难懂的；晦涩的
opaquely|adv. 难理解地
opaqueness|n. 不透明性；晦涩
painstaking|adj. 辛苦的；苦干的
plight|n. 境况；困境；v. 保证；发誓
precipitous|adj. 险峻的；急促的；急躁的
predicament|n. 困境；窘境；危境
quandary|n. 困境；窘境；困惑之境；进退两难
rigorous|adj. 严密的；缜密的；严格的
rigorously|adv. 严格地
stranded|adj. 搁浅的；处于困境的；束手无策的；v. 使滞留；使搁浅；“strand”的过去式和过去分词
strand|n. 一缕；一股；方面；海滨；河岸；v. 使滞留；使搁浅
strenuous|adj. 费力的；繁重的；艰苦的；发奋的
stringent|adj. 严苛的；短缺的；迫切的
troublesome|adj. 令人烦恼的；讨厌的；困难的
material|n. 材料；原料；adj. 物质的
appear|v. 出现；似乎；显得
comparatively|adv. 比较地；相对地
trivial|adj. 不重要的；琐碎的；微不足道的
trifling|adj. 微不足道的；无关紧要的；v. 闹着玩；玩弄；“trifle”的现在分词
petty|adj. 琐碎的；微不足道的；心胸狭窄的
important|adj. 重要的
main|adj. 主要的；¸重要的
supplier|n. 供应商
supply|n. 供应；供给；v. 供给
customer|n. 客户；顾客；主顾
bid|v. 出价；投标；吩咐；向某人道（午安等）；n. 出价；投标；努力争取
bidding|n. 命令；出价；投标；叫牌；v. 投标；出价；叫牌；恳求；命令；说（问候话）；“bid”的现在分词
commercial|adj. 贸易的；商业的；n. 广告
commerce|n. 商业；贸易
consolidate|v. 合并；统一；巩固
consolidation|n. 巩固；合并
contractor|n. 承包商；承包人；订约人
corporate|adj. 团体的；公司的
corporation|n. 公司；企业
earnings|n. 收入；利润
salary|n. 薪金
haggle|v. 争论；讲价；n. 讨价还价；争论
payment|n. 支付；报酬
adhesive|adj. 可黏着的；黏性的；n. 黏合剂；胶黏剂
attendance machine|phrase. 考勤机
blotter|n. 吸墨纸；记事簿
bookend|n. 书挡
book stand|phrase. 书立；书架；书摊
briefcase|n. 公文包；手提包
cabinet|n. 储藏柜；内阁
cellophane tape|phrase. 透明胶带
clasp envelope|phrase. 铁钩信封；带有扎扣的封套；搭扣信封
copier|n. 抄写员；复印机；抄袭者
correction fluid|phrase. 修正液
correction pen|n. 修正液
correction tape|n. 修正带
cutter|n. 切割者；切割机；裁切器；小汽艇
desk calendar|phrase. 台历
expanding file|phrase. 风琴包；文件袋；文件夹
fastener|n. 扣件；纽扣；拉链；使系牢之物
fax|n. 传真；v. 发传真
floppy disk|phrase. 软磁盘
holder|n. 持有者；拥有者；支架
inkpad|n. 印泥；打印台
intercom|n. 内部通话系统（或设备）； 对讲机
locker|n. （有锁的）寄物柜；锁柜；上锁的人
mouse pad|phrase. 鼠标垫
office equipment|phrase. 办公设备
office supply|phrase. 办公用品；办公文具；办公用品专业店
office table|phrase. 办公桌
pad|n. 垫；爪垫；便笺簿；v. 放轻脚步走
pin|n. 大头针；别针；v. （用大头钉等）固定
printer|n. 印刷工人；印刷厂；打印机
printing ink|phrase. 印刷油墨
projector|n. 投影仪；放映机
scanner|n. 扫描仪；扫描器
stapler|n. 订书机
stationery|n. 文具
voice recorder|phrase. 录音机；录音功能
access to|phrase. 有权使用；有机会接近
adequate preparation|phrase. 充分的准备
be acquainted with|phrase. 与…相识；对…熟悉
business cycle|phrase. 商业周期
business letter|n. 商业书信
enclose|v. 围起；附上；封入
essential factor|phrase. 要素
financial gain|phrase. 经济收益
win-win situation|phrase. 双赢的局面；共赢
tin|n. 锡；罐头
surface|n. 表面；v. 显露；给…铺路面
flat|adj. 平坦的；扁平的；平淡无味的；（说话）断然的；（轮胎）瘪了的；n. 公寓；平坦部分；adv. 直接地
horizontal|adj. 水平的
horizontally|adv. 水平地；横向地
parallel|adj. 平行的；相似的；相同的；v. 平行；类似；n. 类似的事物；相似之处
blowdown|n. 排污
brim|n. 边；边缘；帽边；v. （装）满；（使）溢出
composite|adj. 合成的；复合的；n. 合成物；复合材料
convolute|v. 回旋；卷绕；盘旋；adj. 旋绕的；盘旋的
demanding|adj. 要求高的；苛求的；费力的；v. 需要；“demand”的现在分词
distend|v. 膨胀；肿大；使扩张；使膨胀
flow model|phrase. 流动模型
flow sheet|phrase. 流程图；作业图
foam|n. 泡沫；泡沫塑料；泡沫状物；v. 起泡沫
intertwine|v. （使）缠结；纠缠；交织
invert|v. 使倒置；使颠倒
malleable|adj. 可塑的；有延展性的；易改变的
meshed|adj. 网状的；n. 网孔；“mesh”的过去式
mold|n. 模具；霉菌；v. 制模；塑造；发霉
on stream|phrase. （投入）生产；（投入）使用
on-stream inspection|phrase. 运转中检查；不停车检查；在线检查
procedural model|phrase. 程序模型；过程模型
rotate|v. 转动；轮作；轮流
rust|n. 铁锈；v. 生锈
scrap|n. 小块；碎片；废金属；吵架；v. 废弃；取消；adj. 废弃的
sectional|adj. 某群体的；截面的；可组合的；区域的
trek|v. 长途跋涉；n. 艰苦跋涉
wastage|n. 损耗；损耗量
wrought|adj. 制造的；精制的；锻造的
maintain|v. 保持；坚持认为；维护；供养
reserve|v. 保留；储备；预订；n. 储备；保留；保护区；候补
reservation|n. 预定；保留
retain|v. 保留；保持
radiate|v. 散发；发射（光或热）；辐射
radiation|n. 辐射；放射线
scorching|adj. 酷热的；烧焦似的；adv. 灼热地；v. 烧煳；烤焦；使枯萎；“scorch”的现在分词
sticky|adj. 黏的；棘手的
thermal|adj. 热的；保热的；温热的
warm|adj. 温暖的；v. （使）变暖
hot|adj. 热的
tropical|adj. 热带的
assume|v. 假定；设想；呈现；承担
improvement|n. 改进；改善
telecommunication|n. 电信；远距离通讯
lead to|phrase. 把…带到；导致；通向
dispersal|n. 分散；散布；疏散
no longer|phrase. 不再
force|n. 力；力量；武力；兵力；v. 强迫；促使；推动
addressee|n. 收信人；收件人
click rate|phrase. 点击率
cursor|n. 光标；游标
cyberspace|n. 网络空间
email|n. 电子邮件
Facebook|n. 脸谱网，脸书（社交网站）
friend circle|phrase. 朋友圈
internet media|phrase. 网络媒体
live broadcast|phrase. 现场直播
mass communication|phrase. 大众传播
mass media|phrase. 大众传播媒介
net friend|phrase. 网友
network communication|phrase. 网络通信；网络通讯
network|n. 网络；网路；网状物
one-to-many model|n. 一对多模型
social media site|phrase. 社交媒体网站
twitter|v. 吱吱喳喳；嘁嘁喳喳地讲；n. 叽叽喳喳的叫声
visit|v. 访问；参观；n. 访问；参观
website|n. 网站
WeChat|n. 微信
wide|adj. 宽的；宽阔的；广泛的；adv. 广阔地；广大地；张大地
aerial|adj. 空气的；空中的；n. 天线
answering|n. 回答；adj. 回答的；适当的；符合…的；v. 回答；回应；符合；“answer”的现在分词
area code|phrase. 电话区号
broadcast media|phrase. 广播媒体
broadcast|v. 广播；播送；n. 广播节目；电视节目
broadcasting|n. 广播；（无线电和电视的）节目制作和播放；v. 广播；播送；“broadcast”的现在分词
burgeoning|adj. 迅速发展的；迅速生长的；迅速成长的；v. 发芽；抽枝；迅速发展；“burgeon”的现在分词
cellphone|n. 手机
deliver information|phrase. 传递信息；送货信息
dial|n. 拨号；刻度盘；v. 拨
digital media|phrase. 数字媒体
direct dialing|n. 直接拨号
earphone|n. 耳机
extension|n. 延伸；扩展；延长期；电话分机
fixed-line|phrase. 固定线路；固线；固网
frequency adjustment|phrase. 调频；频率调整
function|n. 功能；职责；函数；v. 起作用； 运行；行使职责
handset|n. 电话听筒；手机
icon|n. 图标；画像；雕像；圣像；偶像
inbox|n. 收件箱
indoor aerial|phrase. 室内天线
infectivity|n. 传染性；传染力
International Direct Dialing|n. 国际直接拨号；国际直拨
leave a message|phrase. 留个话；留个口信
long distance call|phrase. 长途电话
long wave|phrase. 长波
loudspeaker|n. 扬声器；喇叭
make a call|phrase. 拜访
medium wave|phrase. 中波
megahertz|n. 兆赫兹
microblog|n. 微博
mobile phone|phrase. 移动电话
operator|n. 操作员；接线员
passcode|phrase. 密码
phone book|phrase. 电话簿
public radio|phrase. 公共广播电台；公共电台
put through|phrase. 使经受；接通（电话）
radio wave|phrase. 无线电波
radio|n. 收音机；无线电；无线电广播
reach|v. 达到；抵达；n. 伸手可及的距离
rebroadcast|v. 转播；重播；n. 转播；重播
receiver|n. 听筒；接收者
refresh|v. 使恢复精力；使复原；使变新
short wave|phrase. 短波
supervision|n. 监督；管理
tape recorder|phrase. 磁带录音机
telecom|n. 电信；远距离通讯
telephone|n. 电话；电话机
transmitter|n. 传播者；发射机；送话机
unavailable|adj. 难以获得的；不能利用的；没空的
voicemail|n. 语音信箱
wave length|phrase. 波长
working mode|phrase. 工作模式
compare|v. 比较；对比；比喻
invention|n. 发明；创造
inventive|adj. 发明创造的；有发明力的；有创造力的
pale|adj. 苍白的；（颜色）淡的
significance|n. 意义；重要性
significant|adj. 重大的；重要的；影响明显的；意味深长的
significantly|adv. 意味深长地；值得注目地；极大地
since|conj. 因为；由于；既然；从…以后；adv. 此后；后来；prep. 自…以后；从…以来
achieve|v. 完成；实现；达到；获得
achievement|n. 成就；成绩；完成
depend on|phrase. 依靠；依赖
originate|v. 起源；发源；创始
origination|n. 起源
originator|n. 创作者；发起人；创始人
originative|adj. 有创作力的
cardinal|adj. 首要的；大红色的；n. 红衣主教；枢机主教；基数
chief|n. 领袖；首领；adj. 主要的；首要的
chiefly|adv. 主要地；首要地；adj. 领袖（般）的
crucial|adj. 至关重要的；决定性的
dominant|adj. 支配的；占优势的；显性的
elementary|adj. 基本的；初级的
elite|n. （社会）精英；上层人士；adj. 精英的；出类拔萃的
fateful|adj. 重大的；命中注定的；决定命运的；预言性的
foremost|adj. ¸重要的；¸好的；adv. 首要地
fundamental|adj. 基本的；基础的；根本的；n. 基本原则；基本原理
gist|n. 要点；大意；主旨
key|n. 钥匙；关键；adj. 关键的
largely|adv. 大部分地；主要地；大量地
leading|adj. ¸重要的；一流的；处于领导地位的；v. 带领；领导；“lead”的现在分词
momentous|adj. 重要的；重大的
optimum|adj. ¸适宜的；¸佳的
outweigh|v. 大于；重于；超过
paramount|adj. ¸高的；至上的；¸重要的
pivotal|adj. 枢轴的；重要的；关键的
predominantly|adv. 占主导地位地；主要地
predominate|v. 占主导地位；占支配地位
primary|adj. ¸初的；首要的；初等的；小学的；原来的
primarily|adv. 主要地
principal|adj. ¸重要的；主要的；本金的；n. 负责人；首长；校长；本金
vital|adj. 至关重要的；所必需的；生死攸关的；充满活力的
comparative|adj. 比较的；相当的
contrast|n. 对照；反差；对立；v. 对比；和...形成对照
counterpart|n. 职务相当的人；对应物；相当之物；副本
equal|adj. 相等的；同等的；v. 等于；比得上；n. 同等的人；相等物
equality|n. 同等；平等
equally|adv. 平等地；同样地；相等地
equate|v. 同等看待；使等同
equivalent|adj. 相等的；等价的；n. 等价物
inferior|adj. 较差的；次等的；下级的
inferiority|n. 劣势；低等；自卑
peerless|adj. 无可匹敌的；盖世无双的
preferable|adj. 较合意的；更可取的
relative|n. 亲戚；adj. 比较的；相对的；相关联的
resemble|v. 相似；类似
superior|adj. 更好的；有优越感的；上级的；n. 上级；上司
versus|prep. 对…；与…相对
regulation|n. 规则；条例；管理
mercury|n. 水银；汞
emission|n. 散发；排放；放射
implement|v. 实施；执行；n. 工具；器具
implementation|n. 履行；实施
perform|v. 表演；执行；履行；表现
execute|v. 执行；实施；处死
utensil|n. 用具；器具
instrument|n. 仪器；乐器；工具；手段；法律文件
given|v. 给予；“give”的过去分词；prep. 考虑到；adj. 规定的
stipulate|v. 规定；订明；讲定；明确要求
acetate|n. 醋酸盐；醋酸酯；乙酸盐；乙酸酯
aluminium|n. 铝
amalgam|n. 汞合金；混合物
carbon dioxide|phrase. 二氧化碳
carbonic oxide|phrase. 一氧化炭
chemical element|phrase. 化学元素
cohere|v. 黏合；连结；附着；连贯；形成整体
coherent|adj. 连贯的；一致的；条理分明的
coke|n. 焦炭；(Coke：可口可乐商标的缩写)
copper|n. 铜；铜币
corrosive|adj. 腐蚀性的；起破坏作用的；n. 腐蚀性物品
desalinise|v. 脱盐；淡化
factorable|adj. 可分解因子的
foul|adj. 肮脏恶臭的；很令人不快的；很坏的；v. 使污秽；对…犯规；缠结难解；n. 犯规
gold|n. 金；金币；金黄色；adj. 金色的
halogen|n. 卤素
inert gases|phrase. 惰性气体
inorganic chemistry|phrase. 无机化学
inorganic matter|phrase. 无机物
inorganic polymer|phrase. 无机聚合物；无机高分子
iron|n. 铁；铁器；熨斗；镣铐；adj. 铁制的；坚强的；顽强的；v. 熨烫；用铁装备
lead|v. 领导；带领；导致；n. 铅
lifeless|adj. 死的；无生命的；死气沉沉的
natural polymer|phrase. 天然高分子；天然聚合物
organic chemistry|phrase. 有机化学
organic polymer|phrase. 有机聚合物；有机高分子
organics|n. 有机物
oxidize|v. （使）氧化；（使）生锈
patina|n. 铜绿锈；（金属表面的）绿锈；（旧木器等表面）年久而产生的光泽；（有点儿…的）样子
periodic table of elements|phrase. 元素周期表
polymer|n. 聚合体；聚合物
rare metal|phrase. 稀有金属
scalding|adj. 滚烫的；灼热的；v. 烫伤；“scald”的现在分词
silver|n. 银；银色；银器；adj. 银的；银色的；v. 镀银于；使 ... 成银色
sodium|n. 钠
supra polymer|phrase. 超高分子
synthetic fibre|phrase. 合成纤维；人造纤维
synthetic plastics|phrase. 合成塑料
synthetic rubber|phrase. 合成橡胶
titanium|n. 钛（元素符号为Ti）
toxic chemical|phrase. 有毒化学品
zinc|n. 锌
advisor|n. 顾问；导师
consultant|n. 顾问
consult|v. 咨询；查询；请教
dividend|n. 被除数；股份红利；股息
expected return|phrase. 预期收益
financial plan|phrase. 财务计划
financing|n. 筹措资金；理财；筹集资金；v. 提供资金；“finance”的现在分词
fixed income|phrase. 固定收入
foreign exchange|phrase. 外汇
forward rate|phrase. 远期汇率
futures|n. 期货；n. 未来；将来；前途；“future”的复数
house property|phrase. 房产
increment|n. 增加；增量
investment diversification|phrase. 投资多元化；分散投资
money management|phrase. 金钱管理
ratio|n. 比率；比值
risk assessment|phrase. 风险评估
store of value|phrase. 贮藏手段；价值贮存
systematic risk|phrase. 系统性风险
trust product|phrase. 信托产品
task|n. 任务；工作；作业
apply|v. 申请；应用；涂，敷
paraconsciously|adv. 超意识地
accessible|adj. 易接近的；可进入的；可使用的
consciousness|n. 意识；知觉
self-consciousness|n. 自我意识；不自然
conscious|adj. 有意识的；有知觉的；刻意的
altruistic|adj. 利他的；无私的
altruism|n. 利他主义；利他
confusion|n. 困惑，混乱；混淆
confuse|v. 迷惑；混淆
differentiation|n. 区别；分化；变异
differentiate|v. 区分；区别；辨别
egoism|n. 自我主义；利己主义
emotional state|phrase. 情绪状态
empathy|n. 移情作用；同感；共鸣
identification|n. 识别；鉴定；身份证明
identify|v. 鉴定；识别；确认
interaction|n. 相互作用；相互影响；互动交流
interact|v. 互相作用；互相影响；交流；沟通
introspection|n. 反省；内省
introspective|adj. 内省的；好反省的
inward|adv. 向内地；adj. 在内的；内心的
outward|adj. 向外的；表面的
metacognition|n. 元认知
psychology|n. 心理学；心理
self|n. 自我；本人
self-aware|adj. 自知的
all-round|adj. 全能的；多方面的；多才多艺的
all-round talent|phrase. 全能人才
basic education|phrase. 基础教育
basic quality|phrase. 基本素养
compulsory education|phrase. 义务教育
enlightening|adj. 有启迪作用的；v. 启发；开导；“enlighten”的现在分词
exam-oriented education|phrase. 应试教育
higher education|phrase. 高等教育
labor skill|phrase. 劳动技能
lower secondary education|phrase. 初级教育
moral value|phrase. 道德价值
pedagogy|n. 教育学；教学法
pedagogic|adj. 教育学的；教学法的
pre-primary education|phrase. 学前教育
primary education|phrase. 初等教育
quality-oriented education|phrase. 素质教育
registered school|phrase. 注册学校
amenable|adj. 顺从的；服从的
appropriate|adj. 适当的；恰当的；v. 拨出（专款）；盗用；侵吞
inappropriate|adj. 不适当的；不合宜的
consequently|adv. 从而；结果；因此
consequent|adj. 随之发生的；作为结果的
earnest|adj. 认真的；有决心的；真诚的
even-tempered|adj. 性情平和的
temper|n. 暴躁脾气；情绪；心情；性情；v. 使…缓和；冲淡
inherited|adj. 继承的；遗传的；遗留的；v. 继承；遗传；“inherit”的过去式和过去分词
inherit|v. 继承；遗传
lead by example|phrase. 以身作则；作榜样
maturation|n. 成熟（过程）；化脓
mature|adj. 成熟的；到期的；充分考虑的；v. 成熟；到期
modest|adj. 谦虚的；不多的；适度的
modesty|n. 谦虚；谦逊
naughty|adj. 顽皮的；淘气的
naughtiness|n. 顽皮；淘气
obedient|adj. 服从的；顺从的
obedience|n. 服从；顺从
outcome|n. 结果；成果
participate|v. 参与；参加
participant|n. 参与者；参加者
praise|v. 赞美；赞扬；n. 赞美；赞扬
promise|v. 承诺；答应；有希望；n. 许诺；希望；成功的征兆（或理由）
promising|adj. 有希望的；有前途的；v. 承诺；答应； “promise”的现在分词
puberty|n. 青春期；发育期
rebellion period|phrase. 叛逆期；反抗期
self-esteem|n. 自尊心
self-sufficiency|n. 自足；自给自足
conflict|n. 冲突；矛盾；v. 抵触；冲突
mouthpiece|n. 喉舌；送话口；乐器的吹口；代言人
executive|n. 决策人；行政官；管理人员；adj. 行政的；决策的
external|adj. 外部的；外界的
internal|adj. 内部的；国内的；n. 内脏；本质
mediator|n. 调解人；中间人；介质
Advertising Department|n. 广告部
Business Office|n. 营业部；办事处
department|n. 部门；系；部
division|n. 划分；分歧；除法；部门
Export Department|n. 出口部；外贸部
General Accounting Department|n. 财务部；财会部
General Affairs Department|n. 总务处；总务部
Human Resources Department|n. 人力资源部
Import Department|n. 进口部
International Department|n. 国际部；国际业务部
Personnel Department|n. 人事部；人事科
Planning Department|n. 企划部；策划部
Product Development Department|n. 产品开发部
Public Relations Department|n. 公关部；公共关系部门
Research and Development|n. （产品等的）研究与开发
Sales Department|n. 销售部；营业部
Technology Department|n. 技术部；技术部门
assist|v. 帮助；援助；协助
assistant|n. 助理；助手；adj. 助理的；辅助的
assistance|n. 帮助；援助；协助
service|n. 服务；v. 保养；维修
door-to-door service|phrase. 送货上门服务
admonish|v. 劝告；警告；训诫
unfavorable|adj. 不顺利的；相反的；令人不快的
harmful|adj. 有害的
assail|v. 攻击；困扰；抨击；袭击
baste|v. （烤肉时）润以脂油；狠揍；殴打；大骂；公开责骂
belligerent|adj. 交战的；寻衅的；好战的；n. 交战国；交战团体
compete|v. 竞争；比赛
contend|v. 声称；主张；竞争；争辩
emulate|v. 竞争；努力赶上；仿真；模仿
feud|n. 世仇；长期不和；夙怨；v. 长期斗争；结世仇
fulminate|v. 大声呵斥；强烈谴责
hostile|adj. 敌意的；敌对的
offensive|adj. 冒犯的；令人不快的；进攻性的
inoffensive|adj. 无害的；不触犯人的；不讨厌的
punch|n. 重拳击打；v. 拳打；打孔
repulsive|adj. 排斥的；令人厌恶的；使人反感的
rival|n. 竞争者；敌手；v. 竞争；相匹敌
strife|n. 争吵；争斗；冲突
struggle|v. 斗争；挣扎；抗争；n. 斗争；奋斗；抗争
tantalize|v. （以可望而不可即之物）逗引；使干着急
thump|v. 重击；捶击；发撞击声；n. 重击声；重打
chlorophyll|n. 叶绿素
molecule|n. 分子
capture|v. 逮捕；夺取；吸引；记录；准确地描述；n. 抓捕；攻占
convert|v. 转换；转变；变换；使...改变信仰；n. 皈依者
acorn|n. 橡子；橡实
bamboo|n. 竹子
birch|n. 桦树；赤杨；（体罚用的）桦树条
bough|n. 大树枝；粗树枝
box|n. 箱子；盒子；一拳；v. 拳击；装箱
branch|n. 分支；树枝；分公司
camphor tree|phrase. 香樟树
coconut palm|phrase. 椰子树
cypress|n. 柏树；柏树木
deciduous tree|phrase. 落叶乔木
elm|n. 榆树；榆木
evergreen broad-leaf forest|phrase. 常绿阔叶林
evergreen tree|phrase. 常青树
fir|n. 冷杉；枞树
ginkgo|n. 银杏
hardy|adj. 强壮的；能吃苦耐劳的；耐寒的
hardiness|n. 耐久力；顽强；耐劳
hickory|n. 山核桃树；山核桃
ivy|n. 常春藤
laurel|n. 月桂（树）
maple tree|phrase. 枫树
oak|n. 栎树；橡树；橡木
palm|n. 手掌；手心；棕榈
phoenix tree|phrase. 梧桐树
pine|n. 松树；松木；v. 渴望；苦思
poplar|n. 白杨；杨树
sandalwood|n. 檀香
satinwood|n. 椴木
sequoia|n. 红杉；巨杉
sycamore|n. 悬铃木
trunk|n. 树干；躯干；大衣箱；象鼻子
twig|n. 嫩枝；细枝；v. 察觉；明白
verdant|adj. 翠绿的；青翠的；长满绿色植物的
verdure|n. 青翠的草木
vine|n. 藤；藤蔓；藤本植物；葡萄藤
virgin|n. 处女；处男；adj. 未开发的；纯洁的
willow|n. 柳树；柳木
windbreak|n. 防风林
abound|v. 大量存在；有许多
overfill|v. 把...装得溢出
permeate|v. 渗透；弥漫；贯穿
permeation|n. 渗透
permeant|adj. 浸透的
penetrate|v. 渗透；看穿；洞察
teem|v. 充满；充斥
absorb|v. 吸收；理解；吸引；使全神贯注；缓冲
absorption|n. 吸收；专注；合并
assimilate|v. 吸收；消化；使同化
inhale|v. 吸入；吸气
inhalation|n. 吸入；吸入物；吸入剂
intake|n. 吸收之量；吸入；摄入
clothing|n. 衣服；服装
standard|n. 标准；adj. 标准的；规范的；权威的
determine|v. 决心；决定；测定；确定
determined|adj.  坚决的；坚定的；有决心的；v. 决心；决定；“determine”的过去式和过去分词
employee|n. 雇员；受雇者
employer|n. 雇主
employment|n. 就业；雇佣；职业
supervisor|n. 监督人；管理人；主管人
administrator|n. 管理人员；行政官员
apron|n. 围裙；停机坪
attire|n. 服装；衣服
beret|n. 贝雷帽（扁圆无檐）
cashmere|n. 开司米；山羊绒
cotton|n. 棉；棉花；棉布
fabric|n. 织物；布料；构造；（建筑物的）结构
garb|n. 服装；制服；装束；v. 穿衣
linen|n. 亚麻布；亚麻织品；adj. 亚麻布制的；亚麻色的
overall|adv. 全部；总计；大致上；n. （工作时穿的）罩衣；adj. 总的；全面的；总体的
overcoat|n. 大衣；外套
pajamas|n. 宽大的睡衣裤
scarf|n. 围巾；头巾；v. 围（围巾）；披（披巾）
shawl|n. 披肩；围巾
suit|n. 套装；西装；诉讼；v. 适合；相配
waistcoat|n. 背心；马甲
wool|n. 羊毛；毛线
abortive|adj. 失败的；夭折的；发育不完全的
blunder|n. 愚蠢的错误；失误；v. 犯愚蠢的错误；失误；跌跌撞撞地走
defective|adj. 有缺点的；有缺陷的；有毛病的
demerit|n. 过失；缺点
drawback|n. 缺点；不利条件
disadvantage|n. 不利；劣势；短处；v. 使处于不利地位
err|v. 犯错；出差错
erroneous|adj. 错误的；不正确的
erroneously|adv. 错误地
failure|n. 失败
fallible|adj. 易犯错误的；可能犯错的
flaw|n. 瑕疵；缺陷；裂痕；v. 使有裂纹；使有缺陷
flop|v. 猛落；沉重地落下；失败；n. 不成功
heedless|adj. 不留心的；不注意的
ignore|v. 忽视；忽略；置之不理
inaccurate|adj. 不精确的；不准确的；有错误的
incorrectly|adv. 不正确地；错误地
misjudge|v. 判断错误
neglect|v. 疏忽；忽视；不予重视；n. 疏忽；大意
negligence|n. 疏忽；过失；失职
negligent|adj. 疏忽的；粗心的；不在意的
offhand|adj. 即时的；未经准备的；唐突无礼的；adv. 即时地；未经思索地；随便地
omission|n. 遗漏；疏忽
omit|v. 省略；遗漏
regardless|adj. 不顾的；不注意的；adv. 不顾；不加理会
slovenly|adj. 不修边幅的；邋遢的
typo|n. 打字（或排印）文稿的小错误
impropriety|n. 不适当；不正确；不得体
incompetent|adj. 无能力的；不称职的；不能胜任的；n. 没有能力的人
ineligible|adj. 不合格的；不符合资格的
inept|adj. 不适当的；无能的；笨拙的
unbecoming|adj. 不恰当的；不得体的；无吸引力的
unseemly|adj. 不体面的；不相配的；不适宜的
nominate|v. 提名；推荐；指派
command|n. 命令；指挥；掌握；v. 命令；指挥；掌握
instruction|n. 指示；教授；指令；说明
mandatory|adj. 强制的；法定的；义务的
request|n. 请求；要求的事；v. 要求；请求
requisition|n. 正式要求；征用；v. 正式要求；征用
beforehand|adv. 预先；提前
